Site,SiteTreatment,Treatment,Species,TAG,IndTag,SpruceDensity,AspenDensity,BirchDensity,WillowDensity,TotalDensity,Decid:conif,Height2013,Height2014,AnnHGr2014,Height2015,FinalHeightGr,AnnHGr,PosFinalHeightGr,PropHGr,PropHGr20142015,Basal2013,Basal2014,Basal2015,FinalBasalGr,PropBasalGr,DBH2013,DBH2014,DBH2015,CrownDepth2013,CrownDepth2014,CrownDepth2015,CrownWidth2013,CrownWidth2014,CrownWidth2015,CrownPerp2013,CrownPerp2014,CrownPerp2015,CrownWmean2014,CrownWmean2015,PropCrownWidthChange,PropCrownDepthChange,CrownRatio2014,CrownRatio2015,ChangeInCrownRatio,Winter2014Herb,Health2013,Health2014,Health2015,PastHerbivory2013,Alive2013,Alive2014,Alive2015,LeafLength2013,LeafLength2014,LeafLength2015,PropLeafChange,Winter2015Herb,LeafLengthAdjusted2015,AdjPropLeafChange,Height2017,Basal2017,DBH2017,CrownDepth2017,CrownWidth2017,CrownPerp2017,CrownWMean2017,Health,Alive2017,Notes,Browsed2017,FinalPropHeightChange,FinalPropBasalChange,FinalPropCrownD,FinalPropCrownW
BF76,BF76C,Control,aspen,TA16,BF76CTA16,3.85,7.5,4.45,0.95,16.75,3.103896104,82,58,-24,74,-8,-4,39.1,-9.756097561,27.5862069,6,7,8,2,33.33333333,na,na,na,na,34,22,na,24,21,na,13,22,18.5,21.5,16.21621622,-35.29411765,1.837837838,1.023255814,-0.814582024,0,na,3,4,0,1,1,1,na,35.5,68.6,93.23943662,0,48.02,35.26760563,72,9.4,na,36,27,16,21.5,2,1,,0,-13.88888889,36.17021277,5.555555556,13.95348837
BF76,BF76C,Control,aspen,TA20,BF76CTA20,3.85,7.5,4.45,0.95,16.75,3.103896104,55,60,5,71,16,8,63.1,29.09090909,18.33333333,4,5,6,2,50,na,na,na,na,13,25,na,12,13,na,11,12,11.5,12.5,8.695652174,92.30769231,1.130434783,2,0.869565217,0,na,0,4,0,1,1,1,na,28.8,50.9,76.73611111,0,35.63,23.71527778,62,5.6,na,49,5,3,4,1,1,,0,11.29032258,28.57142857,73.46938776,-187.5
BF76,BF76C,Control,aspen,TA4,BF76CTA4,3.85,7.5,4.45,0.95,16.75,3.103896104,77,83,6,80,3,1.5,50.1,3.896103896,-3.614457831,5,9,8,3,60,na,na,na,na,50,42,na,22,16,na,11,13,16.5,14.5,-12.12121212,-16,3.03030303,2.896551724,-0.133751306,0,na,1,4,0,1,1,1,na,25.2,42.88888889,70.19400353,0,30.02222222,19.13580247,73,9,na,46,12,6,9,3,1,,0,-5.479452055,44.44444444,-8.695652174,-83.33333333
BF76,BF76C,Control,aspen,TA19,BF76CTA19,3.85,7.5,4.45,0.95,16.75,3.103896104,234,371,137,386,152,76,199.1,64.95726496,4.043126685,16,28,30,14,87.5,11,14,9,na,229,236,na,63,66,na,46,76,54.5,71,30.27522936,3.056768559,4.201834862,3.323943662,-0.8778912,0,na,1,3,1,1,1,1,na,43.5,54,24.13793103,0,37.8,-13.10344828,468,31.5,21.5,199,100,100,100,3,1,,0,50,49.20634921,-15.07537688,45.5
BF76,BF76C,Control,aspen,TA2,BF76CTA2,3.85,7.5,4.45,0.95,16.75,3.103896104,115,138,23,189,74,37,121.1,64.34782609,36.95652174,9,12,13,4,44.44444444,na,na,4,na,79,130,na,24,32,na,17,27,20.5,29.5,43.90243902,64.55696203,3.853658537,4.406779661,0.553121124,0,na,1,3,1,1,1,1,na,34.3,57.9,68.80466472,0,40.53,18.16326531,191,4.8,6,94,30,19,24.5,3,1,,0,39.79057592,-87.5,15.95744681,16.32653061
BF76,BF76C,Control,aspen,TA3,BF76CTA3,3.85,7.5,4.45,0.95,16.75,3.103896104,152,161,9,204,52,26,99.1,34.21052632,26.70807453,10,15,14,4,40,2,2,5,na,98,130,na,45,40,na,37,35,41,37.5,-8.536585366,32.65306122,2.390243902,3.466666667,1.076422765,0,na,2,4,1,1,1,1,na,51.4,56.2,9.338521401,0,39.34,-23.46303502,210,14.5,5.5,116,28,22,25,3,1,,0,27.61904762,31.03448276,15.51724138,-64
BF76,BF76C,Control,aspen,TA7,BF76CTA7,3.85,7.5,4.45,0.95,16.75,3.103896104,93,155,62,162,69,34.5,116.1,74.19354839,4.516129032,10,14,14,4,40,na,2,3,na,140,98,na,90,75,na,66,33,78,54,-30.76923077,-30,1.794871795,1.814814815,0.01994302,0,na,4,4,1,1,1,1,na,42.9,50.6,17.94871795,0,35.42,-17.43589744,168,13.4,4.2,48,72,45,58.5,3,1,,0,44.64285714,25.37313433,-191.6666667,-33.33333333
BF76,BF76C,Control,aspen,TA9,BF76CTA9,3.85,7.5,4.45,0.95,16.75,3.103896104,146,160,14,155,9,4.5,56.1,6.164383562,-3.125,11,14,15,4,36.36363636,3,3,2,na,130,104,na,65,60,na,49,52,57,56,-1.754385965,-20,2.280701754,1.857142857,-0.423558897,0,na,4,3,1,1,1,1,na,32.4,52.5,62.03703704,0,36.75,13.42592593,143,5.8,3.8,63,56,43,49.5,3,1,,0,-2.097902098,-89.65517241,-106.3492063,-15.15151515
BF79,BF79C,Control,aspen,TA13,BF79CTA13,2.65,15.9,15.75,1.4,35.7,11.94339623,44,56,12,59,15,7.5,62.1,34.09090909,5.357142857,5,6,6,1,20,na,na,na,na,24,27,na,14,13,na,12,10,13,11.5,-11.53846154,12.5,1.846153846,2.347826087,0.501672241,0,na,1,1,0,1,1,1,na,26.7,33.9,26.96629213,0,23.73,-11.12359551,78,6.5,na,23,12,12,12,4,1,,0,43.58974359,23.07692308,-4.347826087,-8.333333333
BF79,BF79C,Control,aspen,TA14,BF79CTA14,2.65,15.9,15.75,1.4,35.7,11.94339623,83,85,2,90,7,3.5,54.1,8.43373494,5.882352941,9,1,11,2,22.22222222,na,na,na,na,36,34,na,30,28,na,19,17,24.5,22.5,-8.163265306,-5.555555556,1.469387755,1.511111111,0.041723356,0,na,1,2,0,1,1,1,na,26.4,44.4,68.18181818,0,31.08,17.72727273,127,11.1,na,52,33,32,32.5,4,1,,0,34.64566929,18.91891892,30.76923077,24.61538462
