"Scenario","TSF","Site","species","mean","sd","low","high","Data","Variable"
"No Browsing",9,"BF82","Potr",0.45,0.247511296924531,-0.202488703075469,0.697511296924531,"Field","Height"
"No Browsing",9,"BF84","Bene",0.87,0.320530399248036,-0.549469600751964,1.19053039924804,"Field","Height"
"No Browsing",9,"BF84","Pima",0.37,0.119087539672558,-0.250912460327442,0.489087539672558,"Field","Height"
"No Browsing",9,"BF84","Potr",0.46,0.190264512706184,-0.269735487293816,0.650264512706184,"Field","Height"
"No Browsing",9,"BF86","Bene",1.69,0.76302307339052,-0.926976926609479,2.45302307339052,"Field","Height"
"No Browsing",9,"BF86","Pima",0.37,0.163748041370367,-0.206251958629633,0.533748041370367,"Field","Height"
"No Browsing",9,"BF86","Potr",0.48,0.195498687571312,-0.284501312428688,0.675498687571311,"Field","Height"
"No Browsing",10,"BF72","Bene",1.99,0.726756311869464,-1.26324368813054,2.71675631186946,"Field","Height"
"No Browsing",10,"BF72","Pima",0.32,0.183603548870643,-0.136396451129357,0.503603548870643,"Field","Height"
"No Browsing",10,"BF72","Potr",0.72,0.507861011515497,-0.212138988484503,1.2278610115155,"Field","Height"
"No Browsing",10,"BF76","Bene",2.62,0.998042821568399,-1.6219571784316,3.6180428215684,"Field","Height"
"No Browsing",10,"BF76","Pima",0.39,0.177038668257755,-0.212961331742245,0.567038668257755,"Field","Height"
"No Browsing",10,"BF76","Potr",1.43,0.868749100718959,-0.561250899281041,2.29874910071896,"Field","Height"
"No Browsing",10,"BF79","Bene",1.47,0.479642410661592,-0.990357589338408,1.94964241066159,"Field","Height"
"No Browsing",10,"BF79","Pima",0.34,0.177099436832294,-0.162900563167706,0.517099436832294,"Field","Height"
"No Browsing",10,"BF79","Potr",0.84,0.489805427414954,-0.350194572585045,1.32980542741495,"Field","Height"
"No Browsing",10,"BF82","Bene",1.48,0.716270310633309,-0.763729689366691,2.19627031063331,"Field","Height"
"No Browsing",10,"BF82","Pima",0.38,0.137246416883533,-0.242753583116467,0.517246416883533,"Field","Height"
"No Browsing",10,"BF82","Potr",0.53,0.282623465748711,-0.247376534251289,0.812623465748711,"Field","Height"
"No Browsing",10,"BF84","Bene",0.91,0.340856506311288,-0.569143493688712,1.25085650631129,"Field","Height"
"No Browsing",10,"BF84","Pima",0.39,0.127917530998851,-0.262082469001149,0.517917530998851,"Field","Height"
"No Browsing",10,"BF84","Potr",0.48,0.204215801463186,-0.275784198536814,0.684215801463186,"Field","Height"
"No Browsing",10,"BF86","Bene",1.72,0.85848029741668,-0.86151970258332,2.57848029741668,"Field","Height"
"No Browsing",10,"BF86","Pima",0.44,0.196934399978107,-0.243065600021893,0.636934399978107,"Field","Height"
"No Browsing",10,"BF86","Potr",0.47,0.203026443701566,-0.266973556298434,0.673026443701566,"Field","Height"
"No Browsing",12,"BF72","Bene",2.74,0.858057782375253,-1.88194221762475,3.59805778237525,"Field","Height"
"No Browsing",12,"BF72","Pima",0.48,0.292399780401674,-0.187600219598326,0.772399780401674,"Field","Height"
"No Browsing",12,"BF72","Potr",0.91,0.854653241813714,-0.0553467581862864,1.76465324181371,"Field","Height"
"No Browsing",12,"BF76","Bene",3.47,1.25909857061563,-2.21090142938437,4.72909857061563,"Field","Height"
"No Browsing",12,"BF76","Pima",0.47,0.208647832791656,-0.261352167208344,0.678647832791656,"Field","Height"
"No Browsing",12,"BF76","Potr",1.51,0.995519200986181,-0.514480799013819,2.50551920098618,"Field","Height"
"No Browsing",12,"BF79","Bene",2.17,0.79575783145112,-1.37424216854888,2.96575783145112,"Field","Height"
"No Browsing",12,"BF79","Pima",0.51,0.258950818333887,-0.251049181666114,0.768950818333886,"Field","Height"
"No Browsing",12,"BF79","Potr",1.14,0.782869908808384,-0.357130091191616,1.92286990880838,"Field","Height"
"No Browsing",12,"BF82","Bene",1.93,1.40600393271979,-0.523996067280205,3.33600393271979,"Field","Height"
"No Browsing",12,"BF82","Pima",0.49,0.1566405353347,-0.3333594646653,0.6466405353347,"Field","Height"
"No Browsing",12,"BF82","Potr",0.53,0.343365087528324,-0.186634912471676,0.873365087528324,"Field","Height"
"No Browsing",12,"BF84","Bene",0.99,0.476272809924821,-0.513727190075179,1.46627280992482,"Field","Height"
"No Browsing",12,"BF84","Pima",0.44,0.140909638832088,-0.299090361167912,0.580909638832088,"Field","Height"
"No Browsing",12,"BF84","Potr",0.62,0.413215115921651,-0.206784884078349,1.03321511592165,"Field","Height"
"No Browsing",12,"BF86","Bene",2,1.0260575773546,-0.973942422645403,3.0260575773546,"Field","Height"
"No Browsing",12,"BF86","Pima",0.61,0.285478975782868,-0.324521024217132,0.895478975782868,"Field","Height"
"No Browsing",12,"BF86","Potr",0.56,0.287271648444465,-0.272728351555536,0.847271648444465,"Field","Height"
"Browsing",8,"BF72","Bene",4.57,1.2724180205607,-3.2975819794393,5.8424180205607,"Field","DBH"
"Browsing",8,"BF72","Potr",5.5,2.12132034355964,-3.37867965644036,7.62132034355964,"Field","DBH"
"Browsing",8,"BF76","Bene",8.76,5.19048903963665,-3.56951096036335,13.9504890396367,"Field","DBH"
"Browsing",8,"BF76","Potr",4.38,2.92464894108189,-1.45535105891811,7.30464894108189,"Field","DBH"
"Browsing",8,"BF79","Bene",4,1.4142135623731,-2.5857864376269,5.4142135623731,"Field","DBH"
"Browsing",8,"BF82","Bene",6,3.16227766016838,-2.83772233983162,9.16227766016838,"Field","DBH"
"Browsing",8,"BF86","Bene",7.25,2.81577190634672,-4.43422809365328,10.0657719063467,"Field","DBH"
"Browsing",9,"BF72","Bene",4.06,2.48914309217717,-1.57085690782283,6.54914309217717,"Field","DBH"
"Browsing",9,"BF72","Potr",10,NA,NA,NA,"Field","DBH"
"Browsing",9,"BF76","Bene",11.42,6.82573390009117,-4.59426609990883,18.2457339000912,"Field","DBH"
"Browsing",9,"BF76","Potr",5.33,3.80788655293195,-1.52211344706805,9.13788655293195,"Field","DBH"
"Browsing",9,"BF79","Bene",4.2,1.92353840616713,-2.27646159383287,6.12353840616713,"Field","DBH"
"Browsing",9,"BF82","Bene",5.83,3.29830075626646,-2.53169924373354,9.12830075626646,"Field","DBH"
"Browsing",9,"BF84","Bene",3,NA,NA,NA,"Field","DBH"
"Browsing",9,"BF86","Bene",7.64,3.3844564489066,-4.2555435510934,11.0244564489066,"Field","DBH"
"Browsing",10,"BF72","Bene",6.12,2.64297069935462,-3.47702930064538,8.76297069935462,"Field","DBH"
"Browsing",10,"BF72","Potr",8,8.48528137423857,0.48528137423857,16.4852813742386,"Field","DBH"
"Browsing",10,"BF76","Bene",12.95,7.50771532982466,-5.44228467017534,20.4577153298247,"Field","DBH"
"Browsing",10,"BF76","Potr",5.6,2.27058484879019,-3.32941515120981,7.87058484879019,"Field","DBH"
"Browsing",10,"BF79","Bene",4.17,2.40138848724372,-1.76861151275628,6.57138848724372,"Field","DBH"
"Browsing",10,"BF82","Bene",7.23,3.03188187307944,-4.19811812692056,10.2618818730794,"Field","DBH"
"Browsing",10,"BF84","Bene",3,NA,NA,NA,"Field","DBH"
"Browsing",10,"BF86","Bene",8.64,3.69520573913625,-4.94479426086375,12.3352057391362,"Field","DBH"
"Browsing",12,"BF72","Bene",12.3,5.46890198201512,-6.83109801798488,17.7689019820151,"Field","DBH"
"Browsing",12,"BF72","Potr",51,102.885834787885,51.8858347878852,153.885834787885,"Field","DBH"
"Browsing",12,"BF76","Bene",20.34,10.7747463030336,-9.56525369696637,31.1147463030336,"Field","DBH"
"Browsing",12,"BF76","Potr",7.9,5.32517605342772,-2.57482394657228,13.2251760534277,"Field","DBH"
"Browsing",12,"BF79","Bene",6.12,3.14636875836835,-2.97363124163165,9.26636875836835,"Field","DBH"
"Browsing",12,"BF79","Potr",3.55,0.0707106781186548,-3.47928932188135,3.62071067811865,"Field","DBH"
"Browsing",12,"BF82","Bene",11.6,4.62699588384201,-6.97300411615799,16.226995883842,"Field","DBH"
"Browsing",12,"BF82","Potr",2,NA,NA,NA,"Field","DBH"
"Browsing",12,"BF84","Bene",5.72,1.84639287982451,-3.87360712017548,7.56639287982451,"Field","DBH"
"Browsing",12,"BF86","Bene",9.08,6.51138056967007,-2.56861943032993,15.5913805696701,"Field","DBH"
"Browsing",12,"BF86","Pima",5.8,NA,NA,NA,"Field","DBH"
"No Browsing",8,"BF72","Bene",5,2.82842712474619,-2.17157287525381,7.82842712474619,"Field","DBH"
"No Browsing",8,"BF76","Bene",9.27,5.10080207596627,-4.16919792403373,14.3708020759663,"Field","DBH"
"No Browsing",8,"BF76","Potr",6.67,2.08166599946613,-4.58833400053387,8.75166599946613,"Field","DBH"
"No Browsing",8,"BF79","Bene",8,NA,NA,NA,"Field","DBH"
"No Browsing",8,"BF82","Bene",6.67,0.577350269189626,-6.09264973081037,7.24735026918963,"Field","DBH"
"No Browsing",8,"BF86","Bene",8,3.29501788419166,-4.70498211580834,11.2950178841917,"Field","DBH"
"No Browsing",9,"BF72","Bene",5.17,3.01008406204977,-2.15991593795023,8.18008406204977,"Field","DBH"
"No Browsing",9,"BF72","Potr",10,NA,NA,NA,"Field","DBH"
"No Browsing",9,"BF76","Bene",8.58,7.28251932502058,-1.29748067497942,15.8625193250206,"Field","DBH"
"No Browsing",9,"BF76","Potr",6,5.13160143944688,-0.868398560553116,11.1316014394469,"Field","DBH"
"No Browsing",9,"BF79","Bene",5.11,2.42097317438899,-2.68902682561101,7.53097317438899,"Field","DBH"
"No Browsing",9,"BF79","Potr",3,0,-3,3,"Field","DBH"
"No Browsing",9,"BF82","Bene",7,5.73211504221111,-1.26788495778889,12.7321150422111,"Field","DBH"
"No Browsing",9,"BF86","Bene",8.55,7.3398043075226,-1.2101956924774,15.8898043075226,"Field","DBH"
"No Browsing",10,"BF72","Bene",7.6,3.88770957175118,-3.71229042824882,11.4877095717512,"Field","DBH"
"No Browsing",10,"BF72","Potr",7,7.07106781186548,0.0710678118654755,14.0710678118655,"Field","DBH"
"No Browsing",10,"BF76","Bene",11.42,7.76255820857534,-3.65744179142466,19.1825582085753,"Field","DBH"
"No Browsing",10,"BF76","Potr",5.5,3.16227766016838,-2.33772233983162,8.66227766016838,"Field","DBH"
"No Browsing",10,"BF79","Bene",5.25,3.13702232872339,-2.11297767127661,8.38702232872339,"Field","DBH"
"No Browsing",10,"BF79","Potr",4.67,0.577350269189626,-4.09264973081037,5.24735026918963,"Field","DBH"
"No Browsing",10,"BF82","Bene",7.4,6.11373680965887,-1.28626319034113,13.5137368096589,"Field","DBH"
"No Browsing",10,"BF84","Bene",2.5,0.707106781186548,-1.79289321881345,3.20710678118655,"Field","DBH"
"No Browsing",10,"BF86","Bene",8.08,7.42138282781067,-0.658617172189333,15.5013828278107,"Field","DBH"
"No Browsing",12,"BF72","Bene",11.27,5.96657845666444,-5.30342154333556,17.2365784566644,"Field","DBH"
"No Browsing",12,"BF72","Potr",4.55,3.60624458405139,-0.943755415948607,8.15624458405139,"Field","DBH"
"No Browsing",12,"BF76","Bene",16.92,11.414784708505,-5.50521529149496,28.334784708505,"Field","DBH"
"No Browsing",12,"BF76","Potr",7.66,5.75893026331955,-1.90106973668045,13.4189302633195,"Field","DBH"
"No Browsing",12,"BF79","Bene",7.7,4.79012873870143,-2.90987126129857,12.4901287387014,"Field","DBH"
"No Browsing",12,"BF79","Potr",6.96,3.05826748339644,-3.90173251660356,10.0182674833964,"Field","DBH"
"No Browsing",12,"BF82","Bene",11.44,9.39848687585164,-2.04151312414836,20.8384868758516,"Field","DBH"
"No Browsing",12,"BF84","Bene",5.7,2.26053091109146,-3.43946908890854,7.96053091109146,"Field","DBH"
"No Browsing",12,"BF86","Bene",10.82,9.7736310364349,-1.0463689635651,20.5936310364349,"Field","DBH"
"Browsing",8,"BF72","Bene",13.75,3.72579910185297,-10.024200898147,17.475799101853,"Field","Basal"
"Browsing",8,"BF72","Pima",2.2,1.05630936457281,-1.14369063542719,3.25630936457281,"Field","Basal"
"Browsing",8,"BF72","Potr",5.95,4.12278648744422,-1.82721351255578,10.0727864874442,"Field","Basal"
"Browsing",8,"BF76","Bene",18.95,8.22368210526289,-10.7263178947371,27.1736821052629,"Field","Basal"
"Browsing",8,"BF76","Pima",3.35,2.00722379629703,-1.34277620370297,5.35722379629703,"Field","Basal"
"Browsing",8,"BF76","Potr",8.15,3.21632349773857,-4.93367650226143,11.3663234977386,"Field","Basal"
"Browsing",8,"BF79","Bene",13,4.26737932644726,-8.73262067355274,17.2673793264473,"Field","Basal"
"Browsing",8,"BF79","Pima",2.9,1.48323969741913,-1.41676030258087,4.38323969741913,"Field","Basal"
"Browsing",8,"BF79","Potr",7.6,2.62377791101225,-4.97622208898775,10.2237779110122,"Field","Basal"
"Browsing",8,"BF82","Bene",14,6.6806870116305,-7.3193129883695,20.6806870116305,"Field","Basal"
"Browsing",8,"BF82","Pima",3.35,1.95407805694439,-1.39592194305561,5.30407805694439,"Field","Basal"
"Browsing",8,"BF82","Potr",3.1,1.5183093090325,-1.5816906909675,4.6183093090325,"Field","Basal"
"Browsing",8,"BF84","Bene",8.15,3.80131556174964,-4.34868443825036,11.9513155617496,"Field","Basal"
"Browsing",8,"BF84","Pima",4.05,2.0384462607326,-2.0115537392674,6.0884462607326,"Field","Basal"
"Browsing",8,"BF84","Potr",3.5,1,-2.5,4.5,"Field","Basal"
"Browsing",8,"BF86","Bene",15.35,8.15814091309379,-7.19185908690621,23.5081409130938,"Field","Basal"
"Browsing",8,"BF86","Pima",4.75,1.97017231413103,-2.77982768586897,6.72017231413103,"Field","Basal"
"Browsing",8,"BF86","Potr",2.9,2.10012530954452,-0.799874690455478,5.00012530954452,"Field","Basal"
"Browsing",9,"BF72","Bene",20.4,6.23572052984383,-14.1642794701562,26.6357205298438,"Field","Basal"
"Browsing",9,"BF72","Pima",3.85,1.42441123571146,-2.42558876428854,5.27441123571146,"Field","Basal"
"Browsing",9,"BF72","Potr",7.79,4.99531944666895,-2.79468055333105,12.785319446669,"Field","Basal"
"Browsing",9,"BF76","Bene",30.7,13.3460027526479,-17.3539972473521,44.0460027526479,"Field","Basal"
"Browsing",9,"BF76","Pima",5,3.21182027418786,-1.78817972581214,8.21182027418786,"Field","Basal"
"Browsing",9,"BF76","Potr",11.45,6.96967113926286,-4.48032886073714,18.4196711392629,"Field","Basal"
"Browsing",9,"BF79","Bene",16.8,5.2575759873879,-11.5424240126121,22.0575759873879,"Field","Basal"
"Browsing",9,"BF79","Pima",4.65,2.56032481491992,-2.08967518508008,7.21032481491992,"Field","Basal"
"Browsing",9,"BF79","Potr",8.65,3.29712793679271,-5.35287206320729,11.9471279367927,"Field","Basal"
"Browsing",9,"BF82","Bene",17.74,8.44486764098078,-9.29513235901922,26.1848676409808,"Field","Basal"
"Browsing",9,"BF82","Pima",4.4,2.45806941788833,-1.94193058211167,6.85806941788833,"Field","Basal"
"Browsing",9,"BF82","Potr",4.16,1.38496521796425,-2.77503478203575,5.54496521796425,"Field","Basal"
"Browsing",9,"BF84","Bene",9.85,5.16338322379711,-4.68661677620289,15.0133832237971,"Field","Basal"
"Browsing",9,"BF84","Pima",5,2.36197954445441,-2.63802045554559,7.36197954445441,"Field","Basal"
"Browsing",9,"BF84","Potr",4.11,1.10023920844036,-3.00976079155964,5.21023920844036,"Field","Basal"
"Browsing",9,"BF86","Bene",22,14.4039468275375,-7.59605317246255,36.4039468275375,"Field","Basal"
"Browsing",9,"BF86","Pima",6.3,2.38636477557503,-3.91363522442497,8.68636477557503,"Field","Basal"
"Browsing",9,"BF86","Potr",4.1,2.31471266831158,-1.78528733168842,6.41471266831158,"Field","Basal"
"Browsing",10,"BF72","Bene",23.3,6.82950256337589,-16.4704974366241,30.1295025633759,"Field","Basal"
"Browsing",10,"BF72","Pima",4.5,1.79179416111044,-2.70820583888956,6.29179416111044,"Field","Basal"
"Browsing",10,"BF72","Potr",8.58,6.48344720957133,-2.09655279042867,15.0634472095713,"Field","Basal"
"Browsing",10,"BF76","Bene",31.95,13.9188437208813,-18.0311562791187,45.8688437208813,"Field","Basal"
"Browsing",10,"BF76","Pima",5.9,3.41667736412532,-2.48332263587468,9.31667736412532,"Field","Basal"
"Browsing",10,"BF76","Potr",11.89,5.3634020799624,-6.5265979200376,17.2534020799624,"Field","Basal"
"Browsing",10,"BF79","Bene",17.84,4.94708845792415,-12.8929115420759,22.7870884579241,"Field","Basal"
"Browsing",10,"BF79","Pima",5.45,2.98196332357692,-2.46803667642308,8.43196332357692,"Field","Basal"
"Browsing",10,"BF79","Potr",9.79,2.93596373290538,-6.85403626709462,12.7259637329054,"Field","Basal"
"Browsing",10,"BF82","Bene",22.12,8.60873359546264,-13.5112664045374,30.7287335954626,"Field","Basal"
