TSF,species,variable,mean,sd,low,high,Scenario
2,Bene,height,0.161383632136301,0.0119896617965501,0.149393970339751,0.173373293932851,No Browsing
2,Bene,ba,0.00197774462221553,0.00497249953158687,-0.00299475490937134,0.0069502441538024,No Browsing
2,Bene,dbh,0.135578280539914,0.0101262954733511,0.125451985066563,0.145704576013265,No Browsing
2,Bene,density,1483.05523347378,4302.53401528111,-2819.47878180734,5785.58924875489,No Browsing
2,Pigl,height,3.84925317764282,NA,NA,NA,No Browsing
2,Pigl,ba,0.00197009494469694,NA,NA,NA,No Browsing
2,Pigl,dbh,4.59027051925659,NA,NA,NA,No Browsing
2,Pigl,density,1.19047619047619,NA,NA,NA,No Browsing
3,Bene,height,0.231637513510428,0.0849364756845774,0.146701037825851,0.316573989195006,No Browsing
3,Bene,ba,0.00386663448649457,0.0117399905496607,-0.00787335606316612,0.0156066250361553,No Browsing
3,Bene,dbh,0.194587965202164,0.071338110813161,0.123249854389003,0.265926076015325,No Browsing
3,Bene,density,1285.74466826492,3472.0692749101,-2186.32460664518,4757.81394317502,No Browsing
3,Pigl,height,0.141486950248067,0.455883257682399,-0.314396307434332,0.597370207930466,No Browsing
3,Pigl,ba,0.00067594349191595,0.000578627265862951,9.73162260529988E-05,0.0012545707577789,No Browsing
3,Pigl,dbh,0.166080249210829,0.532590567640004,-0.366510318429175,0.698670816850833,No Browsing
3,Pigl,density,659.253505180805,561.3637664453,97.8897387355049,1220.61727162611,No Browsing
3,Pima,height,0.092639043420863,0.00217523689880222,0.0904638065220607,0.0948142803196652,No Browsing
3,Pima,ba,0.000723880086050586,0.000965274083200524,-0.000241393997149937,0.00168915416925111,No Browsing
3,Pima,dbh,0.10527109355373,0.00247206391637045,0.10279902963736,0.107743157470101,No Browsing
3,Pima,density,835.39769096611,1116.89452348178,-281.496832515667,1952.29221444789,No Browsing
3,Potr,height,0.201912336628277,0.0135374375918712,0.188374899036406,0.215449774220148,No Browsing
3,Potr,ba,0.00111960433262237,0.00122334550803446,-0.000103741175412098,0.00234294984065683,No Browsing
3,Potr,dbh,0.118751432905204,0.00797271494091297,0.110778717964291,0.126724147846117,No Browsing
3,Potr,density,1057.55533431947,1278.72126263487,-221.1659283154,2336.27659695434,No Browsing
4,Bene,height,0.355111170832249,0.164845347613861,0.190265823218388,0.51995651844611,No Browsing
4,Bene,ba,0.00563196061880798,0.0157301466052208,-0.0100981859864129,0.0213621072240288,No Browsing
4,Bene,dbh,0.298188311215031,0.138405941907059,0.159782369307972,0.43659425312209,No Browsing
4,Bene,density,1048.42382980642,2988.06742142291,-1939.64359161649,4036.49125122933,No Browsing
4,Pigl,height,0.127755619765279,0.31418188837666,-0.186426268611382,0.441937508141939,No Browsing
4,Pigl,ba,0.000816508130378141,0.00073952526123882,7.69828691393209E-05,0.00155603339161696,No Browsing
4,Pigl,dbh,0.149969963609791,0.364166135310976,-0.214196171701185,0.514136098920767,No Browsing
4,Pigl,density,607.162229372067,472.041597335673,135.120632036394,1079.20382670774,No Browsing
4,Pima,height,0.107253234802779,0.0124733471451322,0.0947798876576465,0.119726581947911,No Browsing
4,Pima,ba,0.00107490312013629,0.00140666462670652,-0.000331761506570228,0.00248156774684281,No Browsing
4,Pima,dbh,0.121878953034741,0.0141754412628056,0.107703511771935,0.136054394297546,No Browsing
4,Pima,density,907.903260243994,1116.40606750733,-208.502807263334,2024.30932775132,No Browsing
4,Potr,height,0.248819511598762,0.0579737734958239,0.190845738102938,0.306793285094586,No Browsing
4,Potr,ba,0.00159922949823952,0.00288367590851676,-0.00128444641027724,0.00448290540675628,No Browsing
4,Potr,dbh,0.146347592033489,0.0340840652891997,0.112263526744289,0.180431657322689,No Browsing
4,Potr,density,862.526077388085,1457.07815670318,-594.552079315097,2319.60423409127,No Browsing
5,Bene,height,0.480877342135752,0.263052952450455,0.217824389685297,0.743930294586207,No Browsing
5,Bene,ba,0.00652316739774618,0.0181591631607149,-0.0116359957629688,0.0246823305584611,No Browsing
5,Bene,dbh,0.403640145659281,0.220903048002155,0.182737097657127,0.624543193661436,No Browsing
5,Bene,density,809.436625398014,2539.87714304134,-1730.44051764333,3349.31376843935,No Browsing
5,Pigl,height,0.137894249563227,0.269394284554269,-0.131500034991042,0.407288534117495,No Browsing
5,Pigl,ba,0.00107353195980504,0.00104142628234427,3.2105677460766E-05,0.00211495824214931,No Browsing
5,Pigl,dbh,0.162021537300493,0.312633841571223,-0.15061230427073,0.474655378871717,No Browsing
5,Pigl,density,596.245757983078,457.488945552119,138.756812430959,1053.7347035352,No Browsing
5,Pima,height,0.119202932704052,0.0230920976714904,0.0961108350325618,0.142295030375543,No Browsing
5,Pima,ba,0.00142270923319019,0.00198104683844811,-0.000558337605257918,0.00340375607163831,No Browsing
5,Pima,dbh,0.135453656306459,0.0262382503348452,0.109215405971613,0.161691906641304,No Browsing
5,Pima,density,954.203011272399,1203.79175576359,-249.588744491189,2157.99476703599,No Browsing
5,Potr,height,0.329633064442819,0.228440234767165,0.101192829675653,0.558073299209984,No Browsing
5,Potr,ba,0.00233294516751362,0.00457572051144346,-0.00224277534392984,0.00690866567895709,No Browsing
5,Potr,dbh,0.194040988774413,0.137475600509614,0.0565653882647987,0.331516589284027,No Browsing
5,Potr,density,757.486307807544,1354.88537589908,-597.399068091535,2112.37168370662,No Browsing
6,Bene,height,1.11454461239328,1.32420226802476,-0.209657655631483,2.43874688041804,No Browsing
6,Bene,ba,0.00751752224690848,0.0186124432518099,-0.0110949210049015,0.0261299654987184,No Browsing
