"TSF","species","height","low","high","scenario"
2,"Pima",4.16302553812663,4.16302553812663,4.16302553812663,"CPCRW_nomoosehare"
3,"Pigl",0.104108084494097,0.0951414697086405,0.130094053404985,"CPCRW_nomoosehare"
3,"Pima",0.101348493392072,0.0911680542918481,0.121497414665682,"CPCRW_nomoosehare"
3,"Potr",0.9307315548261,0.209284832080205,2.30304979116966,"CPCRW_nomoosehare"
4,"Pigl",0.121072256186948,0.110661834478904,0.13603743937807,"CPCRW_nomoosehare"
4,"Pima",0.109847542159726,0.104166653401886,0.120497876865776,"CPCRW_nomoosehare"
4,"Potr",1.24642645716667,0.354148245751858,2.48553182005882,"CPCRW_nomoosehare"
5,"Pigl",0.136909735286961,0.126971055120872,0.148115535392505,"CPCRW_nomoosehare"
5,"Pima",0.122682165263889,0.118190264348642,0.130223717995464,"CPCRW_nomoosehare"
5,"Potr",1.15345912320273,0.476416193534221,2.10784980670682,"CPCRW_nomoosehare"
6,"Pigl",0.16032666329556,0.149419048498881,0.174218965754216,"CPCRW_nomoosehare"
6,"Pima",0.13906184903064,0.135094875612947,0.145380433535651,"CPCRW_nomoosehare"
6,"Potr",1.6737399206442,0.951597401938017,2.51259121500394,"CPCRW_nomoosehare"
7,"Bene",5.1067971944809,5.0354458808899,5.1781485080719,"CPCRW_nomoosehare"
7,"Pigl",0.183674919577182,0.173057142036675,0.195247571197151,"CPCRW_nomoosehare"
7,"Pima",0.156465939572035,0.152529117133049,0.162163942342641,"CPCRW_nomoosehare"
7,"Potr",1.90318877829446,1.20556825465626,2.65322824617227,"CPCRW_nomoosehare"
8,"Bene",5.47991864681244,5.16637437820435,5.7888063955307,"CPCRW_nomoosehare"
8,"Pigl",0.208155935003266,0.197408528119939,0.221558145256872,"CPCRW_nomoosehare"
8,"Pima",0.178816037857692,0.173111315373582,0.18583672495082,"CPCRW_nomoosehare"
8,"Potr",1.87688534140587,1.20577851849794,2.56423281252384,"CPCRW_nomoosehare"
9,"Bene",5.78691111087799,5.38742134094238,6.2009569311142,"CPCRW_nomoosehare"
9,"Pigl",0.233374819264991,0.222021636271356,0.247165957175696,"CPCRW_nomoosehare"
9,"Pima",0.20029774228234,0.194671169485192,0.207464844062032,"CPCRW_nomoosehare"
9,"Potr",2.66261804525445,2.09162083951075,3.20542156467351,"CPCRW_nomoosehare"
10,"Bene",6.14478130817414,5.57292848110199,6.73414104938507,"CPCRW_nomoosehare"
10,"Pigl",0.265561186457116,0.253926124138013,0.279124503581579,"CPCRW_nomoosehare"
10,"Pima",0.22601851467574,0.219640157500638,0.23464957970103,"CPCRW_nomoosehare"
10,"Potr",3.81459020450874,3.54059848663821,4.07143108942053,"CPCRW_nomoosehare"
11,"Bene",6.4434138917923,5.70112628936767,7.25277297019959,"CPCRW_nomoosehare"
11,"Pigl",0.309084550940345,0.295343889031366,0.323277228223814,"CPCRW_nomoosehare"
11,"Pima",0.251005417935074,0.244380015216412,0.259344474597555,"CPCRW_nomoosehare"
11,"Potr",4.20475398361709,3.98615835838116,4.41447034683895,"CPCRW_nomoosehare"
12,"Bene",6.76870572566986,5.86724984562397,7.77349676668644,"CPCRW_nomoosehare"
12,"Pigl",0.347008742584419,0.333588088251737,0.361871241278604,"CPCRW_nomoosehare"
12,"Pima",0.276049677208551,0.269060362034639,0.284162200890571,"CPCRW_nomoosehare"
12,"Potr",4.39725001944757,4.17269498531664,4.59560922830241,"CPCRW_nomoosehare"
13,"Bene",7.02129194736481,5.98584277629852,8.19218194484711,"CPCRW_nomoosehare"
13,"Pigl",0.375812712706407,0.362409985282142,0.391783745031635,"CPCRW_nomoosehare"
13,"Pima",0.301263909616886,0.294342694241508,0.308577542144993,"CPCRW_nomoosehare"
13,"Potr",4.62960944599992,4.4123740229138,4.84505983897327,"CPCRW_nomoosehare"
14,"Bene",7.31169247150421,6.17347553253174,8.55393975257873,"CPCRW_nomoosehare"
14,"Pigl",0.408038274057578,0.394628382869798,0.424291267036528,"CPCRW_nomoosehare"
14,"Pima",0.327889099192733,0.321145247092495,0.335703900709382,"CPCRW_nomoosehare"
14,"Potr",4.66611496012563,4.39855850032373,4.94016285461805,"CPCRW_nomoosehare"
15,"Bene",7.63979028701782,6.33701817989349,9.01607009887695,"CPCRW_nomoosehare"
15,"Pigl",0.452949148885515,0.437424597709453,0.46946702757822,"CPCRW_nomoosehare"
15,"Pima",0.357383087979559,0.350741346459481,0.365066876178171,"CPCRW_nomoosehare"
15,"Potr",4.77122159347746,4.48231126810453,5.0681264213249,"CPCRW_nomoosehare"
16,"Bene",7.92181271553039,6.49883060455322,9.43952292442321,"CPCRW_nomoosehare"
16,"Pigl",0.49896112418641,0.48301818616887,0.515567985392705,"CPCRW_nomoosehare"
16,"Pima",0.38742140281891,0.37995462670494,0.394504308869961,"CPCRW_nomoosehare"
16,"Potr",4.96535894961271,4.65235384518742,5.28259182160827,"CPCRW_nomoosehare"
17,"Bene",8.15889238357544,6.61483511924744,9.70307162618637,"CPCRW_nomoosehare"
17,"Pigl",0.542377830402472,0.525474972304672,0.560798859379799,"CPCRW_nomoosehare"
17,"Pima",0.420574643281354,0.413202333653793,0.429059948822638,"CPCRW_nomoosehare"
17,"Potr",5.17478046604515,4.83564822150445,5.49444084718759,"CPCRW_nomoosehare"
18,"Bene",8.44475378513336,6.7774841042757,10.1331091451645,"CPCRW_nomoosehare"
18,"Pigl",0.589944379224624,0.572733614307565,0.607930502692194,"CPCRW_nomoosehare"
18,"Pima",0.448383428380638,0.440120401133044,0.456769532795592,"CPCRW_nomoosehare"
18,"Potr",5.33280470945773,4.99801472367595,5.69323971850763,"CPCRW_nomoosehare"
19,"Bene",8.47587876319885,6.70069580078125,11.555153465271,"CPCRW_nomoosehare"
19,"Pigl",0.640241572686093,0.621982273399539,0.658516746365255,"CPCRW_nomoosehare"
19,"Pima",0.480019253435174,0.472494389330752,0.488824184825752,"CPCRW_nomoosehare"
19,"Potr",5.5207758569649,5.16610103281803,5.86882955281452,"CPCRW_nomoosehare"
20,"Bene",9.29345993995669,6.70948400497437,11.877435874939,"CPCRW_nomoosehare"
20,"Pigl",0.686930970147953,0.666479567963533,0.706042036920978,"CPCRW_nomoosehare"
20,"Pima",0.510340362967255,0.502446631547431,0.519997360336423,"CPCRW_nomoosehare"
20,"Potr",5.63467614771092,5.23505502992716,6.05409051626829,"CPCRW_nomoosehare"
21,"Bene",9.55254764556885,6.7436056137085,12.3614896774292,"CPCRW_nomoosehare"
21,"Pigl",0.740963574459249,0.721672446175976,0.762236894818579,"CPCRW_nomoosehare"
21,"Pima",0.545229037974932,0.535704261093767,0.554985527348816,"CPCRW_nomoosehare"
21,"Potr",5.77934421600192,5.37062071264225,6.2179527050384,"CPCRW_nomoosehare"
22,"Bene",9.68251008987427,6.81395626068115,12.5510639190674,"CPCRW_nomoosehare"
22,"Pigl",0.797485495186921,0.777707413167938,0.817944167216474,"CPCRW_nomoosehare"
22,"Pima",0.578226213332595,0.567672417039834,0.587625597032998,"CPCRW_nomoosehare"
22,"Potr",5.92931943227,5.44471761806699,6.38496750910342,"CPCRW_nomoosehare"
23,"Bene",9.92463388442994,6.95672225952148,12.8925455093384,"CPCRW_nomoosehare"
23,"Pigl",0.853245492813973,0.83163440189972,0.876218228874792,"CPCRW_nomoosehare"
23,"Pima",0.615007324835016,0.604354572854022,0.625050176620022,"CPCRW_nomoosehare"
23,"Potr",6.06972242759143,5.58542713969726,6.56429321874643,"CPCRW_nomoosehare"
24,"Bene",10.162673552831,7.10678307215373,13.2185640335083,"CPCRW_nomoosehare"
24,"Pigl",0.916843662949936,0.89475658471544,0.940404012744781,"CPCRW_nomoosehare"
24,"Pima",0.652431806928031,0.641850472206605,0.663142368487811,"CPCRW_nomoosehare"
24,"Potr",6.24665711745649,5.73379394291119,6.78112811097276,"CPCRW_nomoosehare"
25,"Bene",10.3787566661835,7.18818616867065,13.5693271636963,"CPCRW_nomoosehare"
25,"Pigl",0.97563401267435,0.952347939591441,0.999529541551538,"CPCRW_nomoosehare"
25,"Pima",0.691945621448804,0.680641922902912,0.702608179522907,"CPCRW_nomoosehare"
25,"Potr",6.44575969851365,5.88991442064504,6.96919010189484,"CPCRW_nomoosehare"
26,"Bene",10.5498164494833,7.30532423655192,13.7943086624146,"CPCRW_nomoosehare"
26,"Pigl",1.04049293685656,1.01824570725345,1.06523516652123,"CPCRW_nomoosehare"
26,"Pima",0.730767178967611,0.718762990914923,0.743117819347574,"CPCRW_nomoosehare"
26,"Potr",6.61887947970112,6.03661951451741,7.19600493248274,"CPCRW_nomoosehare"
27,"Bene",10.7660702705383,7.49234390258789,14.0397966384888,"CPCRW_nomoosehare"
27,"Pigl",1.10229689595894,1.07818931369317,1.12840421271256,"CPCRW_nomoosehare"
27,"Pima",0.771834107498838,0.759306828917593,0.782749947490255,"CPCRW_nomoosehare"
27,"Potr",6.82414982458156,6.18546850903888,7.41961736991057,"CPCRW_nomoosehare"
28,"Bene",10.9393458366394,7.57092094421387,14.3077707290649,"CPCRW_nomoosehare"
28,"Pigl",1.16083453615776,1.13299941884989,1.18721170217347,"CPCRW_nomoosehare"
28,"Pima",0.814689605307886,0.801182677499435,0.829048434282588,"CPCRW_nomoosehare"
28,"Potr",6.86590328369056,6.23143923326304,7.50982394117121,"CPCRW_nomoosehare"
29,"Bene",11.1364739576976,7.62442096074422,14.6485269546509,"CPCRW_nomoosehare"
29,"Pigl",1.21517122491971,1.18683606413766,1.24413370781338,"CPCRW_nomoosehare"
29,"Pima",0.850415868959911,0.835606220602403,0.864334987640392,"CPCRW_nomoosehare"
29,"Potr",6.95307069373825,6.29799845206634,7.64335140416094,"CPCRW_nomoosehare"
30,"Bene",11.3393051862717,7.76038908958435,14.918221282959,"CPCRW_nomoosehare"
30,"Pigl",1.27238494527007,1.24511197073153,1.30322924850678,"CPCRW_nomoosehare"
30,"Pima",0.88965719619133,0.875585991119153,0.903303688072798,"CPCRW_nomoosehare"
30,"Potr",7.04689034169408,6.40388520870783,7.72109352921467,"CPCRW_nomoosehare"
31,"Bene",11.5266628265381,7.88269662857056,15.1706290245056,"CPCRW_nomoosehare"
31,"Pigl",1.33767346925893,1.30780554421899,1.36794537864673,"CPCRW_nomoosehare"
31,"Pima",0.930711420529077,0.916811870129998,0.944713929429638,"CPCRW_nomoosehare"
31,"Potr",7.30484736013034,6.64130275547189,7.96573479120994,"CPCRW_nomoosehare"
32,"Bene",11.6910675764084,7.9792001247406,15.4029350280762,"CPCRW_nomoosehare"
32,"Pigl",1.40006805993001,1.36872700730898,1.43317527586596,"CPCRW_nomoosehare"
32,"Pima",0.96933606616127,0.953351934470353,0.983717906289511,"CPCRW_nomoosehare"
32,"Potr",7.39348544233432,6.68429191784701,8.20342110196269,"CPCRW_nomoosehare"
33,"Bene",11.856307387352,8.10517859458923,15.6074361801147,"CPCRW_nomoosehare"
33,"Pigl",1.45957531276991,1.42718001803241,1.49030973279978,"CPCRW_nomoosehare"
33,"Pima",1.01186429900343,0.996829244100661,1.02746810655242,"CPCRW_nomoosehare"
33,"Potr",7.59634123118811,6.8177376355183,8.42857636756341,"CPCRW_nomoosehare"
34,"Bene",12.0400296449661,8.28194189071655,15.7981173992157,"CPCRW_nomoosehare"
34,"Pigl",1.52257953101704,1.49218218452613,1.55393662285678,"CPCRW_nomoosehare"
34,"Pima",1.05635217808784,1.04084846995518,1.07263831841277,"CPCRW_nomoosehare"
34,"Potr",7.59352160887848,6.78654299160982,8.46407933000896,"CPCRW_nomoosehare"
35,"Bene",12.2094140052795,8.36360645294189,16.0552215576172,"CPCRW_nomoosehare"
35,"Pigl",1.62081680832652,1.58952304609543,1.65408287726986,"CPCRW_nomoosehare"
35,"Pima",1.10958822579813,1.09194959688492,1.12573899635001,"CPCRW_nomoosehare"
35,"Potr",7.46918862990056,6.57118471389813,8.39967086034166,"CPCRW_nomoosehare"
36,"Bene",12.3220977783203,8.44013977050781,16.2040557861328,"CPCRW_nomoosehare"
36,"Pigl",1.72402220330136,1.69287994756723,1.75405410765206,"CPCRW_nomoosehare"
36,"Pima",1.15842562801038,1.14138448465238,1.17595154984125,"CPCRW_nomoosehare"
36,"Potr",7.41747857753381,6.52021198169107,8.34399204208121,"CPCRW_nomoosehare"
37,"Bene",12.4919972419739,8.54646396636963,16.4375305175781,"CPCRW_nomoosehare"
37,"Pigl",1.80450435798833,1.77216658652203,1.83747217696146,"CPCRW_nomoosehare"
37,"Pima",1.20679750498079,1.18923378763876,1.22486911267916,"CPCRW_nomoosehare"
37,"Potr",7.08579246795243,6.19696274533343,8.00860609252414,"CPCRW_nomoosehare"
38,"Bene",12.6135137081146,8.64292621612549,16.5841012001038,"CPCRW_nomoosehare"
38,"Pigl",1.82894743402312,1.7953370271095,1.86391545313118,"CPCRW_nomoosehare"
38,"Pima",1.25953388314999,1.24092577355307,1.27859711374943,"CPCRW_nomoosehare"
38,"Potr",7.20982234607983,6.36914354487878,8.12880896005386,"CPCRW_nomoosehare"
39,"Bene",12.799772977829,8.80560398101807,16.7939419746399,"CPCRW_nomoosehare"
39,"Pigl",1.83817725897793,1.80475070870433,1.87111743613129,"CPCRW_nomoosehare"
39,"Pima",1.30597076562343,1.28688692568091,1.32548104101141,"CPCRW_nomoosehare"
39,"Potr",7.44907174927637,6.56586152037836,8.32800757850083,"CPCRW_nomoosehare"
40,"Bene",12.9294753074646,8.89112567901611,16.9678249359131,"CPCRW_nomoosehare"
40,"Pigl",1.83906446628214,1.80628575373991,1.87451538215881,"CPCRW_nomoosehare"
40,"Pima",1.35183426734151,1.33059392485638,1.37154479317079,"CPCRW_nomoosehare"
40,"Potr",7.34297950578003,6.44720948382394,8.2316067758832,"CPCRW_nomoosehare"
41,"Bene",13.0965261459351,9.04484939575195,17.1482028961182,"CPCRW_nomoosehare"
41,"Pigl",1.84805666866374,1.81230831770496,1.88277773875073,"CPCRW_nomoosehare"
41,"Pima",1.40453677731272,1.38614052599792,1.42490612364867,"CPCRW_nomoosehare"
41,"Potr",7.42627051981891,6.47228731172425,8.38296533311699,"CPCRW_nomoosehare"
42,"Bene",13.2036030292511,9.11290121078491,17.2943048477173,"CPCRW_nomoosehare"
42,"Pigl",1.86281829098891,1.82631745785254,1.89936308499242,"CPCRW_nomoosehare"
42,"Pima",1.44621580605795,1.42537933456029,1.46524486207579,"CPCRW_nomoosehare"
42,"Potr",7.31989443770977,6.37350039877327,8.26645281871076,"CPCRW_nomoosehare"
43,"Bene",13.3566317558289,9.28293323516846,17.4303302764893,"CPCRW_nomoosehare"
43,"Pigl",1.87448775700509,1.83547169357186,1.9134214140179,"CPCRW_nomoosehare"
