"id"	"species"	"count"	"height_from"	"height_to"	"age"
42	"Bene"	8.3333335	0.017	0.02	1
42	"Bene"	8.3333335	0.012	0.013	1
42	"Bene"	8.3333335	0.019	0.026	1
49	"Bene"	12.5	0.012	0.014	1
49	"Bene"	12.5	0.016	0.024	1
49	"Bene"	12.5	0.014	0.016	1
49	"Bene"	12.5	0.01	0.02	1
49	"Bene"	12.5	0.014	0.017	1
49	"Bene"	12.5	0.016	0.019	1
49	"Bene"	12.5	0.012	0.016	1
49	"Bene"	12.5	0.019	0.025	1
49	"Bene"	12.5	0.011	0.014	1
49	"Bene"	12.5	0.014	0.018	1
49	"Bene"	12.5	0.019	0.024	1
49	"Bene"	12.5	0.011	0.021	1
49	"Bene"	12.5	0.015	0.018	1
49	"Bene"	12.5	0.018	0.024	1
49	"Bene"	12.5	0.016	0.025	1
49	"Bene"	12.5	0.014	0.022	1
49	"Bene"	12.5	0.014	0.016	1
49	"Bene"	12.5	0.016	0.02	1
49	"Bene"	12.5	0.013	0.016	1
49	"Bene"	12.5	0.018	0.02	1
50	"Bene"	16.6666665	0.011	0.02	1
50	"Bene"	16.6666665	0.011	0.014	1
50	"Bene"	16.6666665	0.016	0.024	1
50	"Bene"	16.6666665	0.019	0.024	1
50	"Bene"	16.6666665	0.019	0.021	1
50	"Bene"	16.6666665	0.018	0.02	1
50	"Bene"	16.6666665	0.016	0.02	1
50	"Bene"	16.6666665	0.015	0.018	1
50	"Bene"	16.6666665	0.014	0.023	1
50	"Bene"	16.6666665	0.018	0.026	1
50	"Bene"	16.6666665	0.016	0.017	1
50	"Bene"	16.6666665	0.016	0.021	1
50	"Bene"	16.6666665	0.014	0.019	1
50	"Bene"	16.6666665	0.013	0.018	1
50	"Bene"	16.6666665	0.011	0.019	1
50	"Bene"	16.6666665	0.019	0.023	1
50	"Bene"	16.6666665	0.012	0.021	1
50	"Bene"	16.6666665	0.013	0.022	1
50	"Bene"	16.6666665	0.015	0.023	1
50	"Bene"	16.6666665	0.011	0.013	1
54	"Bene"	8.3333335	0.012	0.014	1
54	"Bene"	8.3333335	0.017	0.024	1
54	"Bene"	8.3333335	0.012	0.016	1
54	"Bene"	8.3333335	0.012	0.013	1
54	"Bene"	8.3333335	0.019	0.022	1
54	"Bene"	8.3333335	0.018	0.027	1
54	"Bene"	8.3333335	0.019	0.022	1
54	"Bene"	8.3333335	0.013	0.02	1
54	"Bene"	8.3333335	0.012	0.018	1
54	"Bene"	8.3333335	0.019	0.024	1
54	"Bene"	8.3333335	0.012	0.022	1
54	"Bene"	8.3333335	0.011	0.015	1
54	"Bene"	8.3333335	0.019	0.022	1
54	"Bene"	8.3333335	0.016	0.018	1
54	"Bene"	8.3333335	0.018	0.028	1
54	"Bene"	8.3333335	0.015	0.024	1
54	"Bene"	8.3333335	0.011	0.019	1
54	"Bene"	8.3333335	0.02	0.026	1
54	"Bene"	8.3333335	0.017	0.019	1
54	"Bene"	8.3333335	0.017	0.018	1
56	"Bene"	8.3333335	0.015	0.016	1
56	"Bene"	8.3333335	0.018	0.019	1
56	"Bene"	8.3333335	0.017	0.021	1
56	"Bene"	8.3333335	0.012	0.021	1
56	"Bene"	8.3333335	0.016	0.022	1
56	"Bene"	8.3333335	0.018	0.019	1
56	"Bene"	8.3333335	0.014	0.018	1
56	"Bene"	8.3333335	0.012	0.015	1
56	"Bene"	8.3333335	0.011	0.014	1
56	"Bene"	8.3333335	0.017	0.019	1
56	"Bene"	8.3333335	0.02	0.021	1
56	"Bene"	8.3333335	0.018	0.019	1
56	"Bene"	8.3333335	0.019	0.023	1
56	"Bene"	8.3333335	0.013	0.018	1
56	"Bene"	8.3333335	0.016	0.021	1
56	"Bene"	8.3333335	0.014	0.021	1
56	"Bene"	8.3333335	0.017	0.024	1
56	"Bene"	8.3333335	0.017	0.022	1
56	"Bene"	8.3333335	0.012	0.016	1
56	"Bene"	8.3333335	0.019	0.026	1
58	"Bene"	5.5555555	0.019	0.024	1
58	"Bene"	5.5555555	0.016	0.024	1
58	"Bene"	5.5555555	0.016	0.022	1
58	"Bene"	5.5555555	0.019	0.026	1
58	"Bene"	5.5555555	0.019	0.021	1
58	"Bene"	5.5555555	0.018	0.019	1
58	"Bene"	5.5555555	0.018	0.02	1
58	"Bene"	5.5555555	0.015	0.02	1
58	"Bene"	5.5555555	0.019	0.027	1
58	"Bene"	5.5555555	0.018	0.026	1
58	"Bene"	5.5555555	0.016	0.026	1
58	"Bene"	5.5555555	0.013	0.02	1
58	"Bene"	5.5555555	0.014	0.016	1
58	"Bene"	5.5555555	0.015	0.019	1
58	"Bene"	5.5555555	0.014	0.023	1
58	"Bene"	5.5555555	0.019	0.025	1
58	"Bene"	5.5555555	0.014	0.015	1
58	"Bene"	5.5555555	0.013	0.015	1
58	"Bene"	5.5555555	0.011	0.02	1
58	"Bene"	5.5555555	0.013	0.015	1
63	"Bene"	8.3333335	0.016	0.025	1
63	"Bene"	8.3333335	0.012	0.016	1
63	"Bene"	8.3333335	0.015	0.017	1
63	"Bene"	8.3333335	0.019	0.024	1
63	"Bene"	8.3333335	0.012	0.013	1
63	"Bene"	8.3333335	0.011	0.016	1
63	"Bene"	8.3333335	0.019	0.027	1
63	"Bene"	8.3333335	0.018	0.024	1
63	"Bene"	8.3333335	0.014	0.019	1
63	"Bene"	8.3333335	0.017	0.026	1
63	"Bene"	8.3333335	0.019	0.022	1
63	"Bene"	8.3333335	0.014	0.023	1
63	"Bene"	8.3333335	0.016	0.018	1
63	"Bene"	8.3333335	0.015	0.023	1
63	"Bene"	8.3333335	0.013	0.017	1
63	"Bene"	8.3333335	0.017	0.019	1
63	"Bene"	8.3333335	0.011	0.014	1
63	"Bene"	8.3333335	0.017	0.018	1
63	"Bene"	8.3333335	0.015	0.023	1
63	"Bene"	8.3333335	0.01	0.015	1
64	"Bene"	22.222222	0.012	0.015	1
64	"Bene"	22.222222	0.011	0.014	1
64	"Bene"	22.222222	0.012	0.015	1
64	"Bene"	22.222222	0.013	0.02	1
64	"Bene"	22.222222	0.01	0.016	1
64	"Bene"	22.222222	0.017	0.019	1
64	"Bene"	22.222222	0.011	0.018	1
64	"Bene"	22.222222	0.017	0.019	1
64	"Bene"	22.222222	0.014	0.016	1
64	"Bene"	22.222222	0.017	0.019	1
64	"Bene"	22.222222	0.02	0.028	1
64	"Bene"	22.222222	0.013	0.022	1
64	"Bene"	22.222222	0.013	0.02	1
64	"Bene"	22.222222	0.012	0.021	1
64	"Bene"	22.222222	0.015	0.017	1
64	"Bene"	22.222222	0.017	0.026	1
64	"Bene"	22.222222	0.018	0.021	1
64	"Bene"	22.222222	0.019	0.02	1
64	"Bene"	22.222222	0.017	0.018	1
64	"Bene"	22.222222	0.019	0.024	1
70	"Bene"	8.3333335	0.014	0.016	1
70	"Bene"	8.3333335	0.013	0.02	1
70	"Bene"	8.3333335	0.014	0.023	1
70	"Bene"	8.3333335	0.015	0.022	1
70	"Bene"	8.3333335	0.014	0.016	1
70	"Bene"	8.3333335	0.013	0.016	1
70	"Bene"	8.3333335	0.017	0.022	1
70	"Bene"	8.3333335	0.014	0.02	1
70	"Bene"	8.3333335	0.016	0.019	1
70	"Bene"	8.3333335	0.019	0.025	1
70	"Bene"	8.3333335	0.014	0.016	1
70	"Bene"	8.3333335	0.013	0.014	1
70	"Bene"	8.3333335	0.011	0.02	1
70	"Bene"	8.3333335	0.014	0.016	1
70	"Bene"	8.3333335	0.018	0.02	1
70	"Bene"	8.3333335	0.012	0.017	1
70	"Bene"	8.3333335	0.013	0.015	1
70	"Bene"	8.3333335	0.015	0.017	1
70	"Bene"	8.3333335	0.015	0.022	1
70	"Bene"	8.3333335	0.015	0.02	1
71	"Bene"	8.3333335	0.016	0.021	1
71	"Bene"	8.3333335	0.014	0.018	1
71	"Bene"	8.3333335	0.013	0.019	1
71	"Bene"	8.3333335	0.015	0.016	1
71	"Bene"	8.3333335	0.015	0.02	1
71	"Bene"	8.3333335	0.01	0.013	1
71	"Bene"	8.3333335	0.012	0.021	1
71	"Bene"	8.3333335	0.016	0.023	1
71	"Bene"	8.3333335	0.013	0.02	1
71	"Bene"	8.3333335	0.018	0.02	1
71	"Bene"	8.3333335	0.01	0.019	1
71	"Bene"	8.3333335	0.015	0.017	1
71	"Bene"	8.3333335	0.02	0.022	1
71	"Bene"	8.3333335	0.016	0.019	1
71	"Bene"	8.3333335	0.018	0.02	1
71	"Bene"	8.3333335	0.016	0.018	1
71	"Bene"	8.3333335	0.017	0.018	1
71	"Bene"	8.3333335	0.02	0.028	1
71	"Bene"	8.3333335	0.014	0.023	1
71	"Bene"	8.3333335	0.016	0.025	1
72	"Bene"	16.6666665	0.013	0.016	1
