"TSF","species","variable","mean","sd","low","high","Scenario"
3,"Pima","height",4.05609608358807,0.125390017476709,3.93070606611136,4.18148610106478,"No Browsing"
3,"Pima","ba",0.00444620034905632,0.0013555839175458,0.00309061643151051,0.00580178426660212,"No Browsing"
3,"Pima","dbh",4.60560315847397,0.0674537645449251,4.53814939392904,4.67305692301889,"No Browsing"
3,"Pima","density",2.66666666666667,0.816496580927726,1.85017008573894,3.48316324759439,"No Browsing"
4,"Pima","height",4.0441344166896,0.0671943695950114,3.97694004709459,4.11132878628461,"No Browsing"
4,"Pima","ba",0.00661459980945863,0.00486744686071169,0.00174715294874695,0.0114820466701703,"No Browsing"
4,"Pima","dbh",4.59789906442568,0.0973489567391686,4.50055010768651,4.69524802116484,"No Browsing"
4,"Pima","density",3.9763861869125,2.90211959678038,1.07426659013212,6.87850578369289,"No Browsing"
5,"Pima","height",4.09194733390871,0.123287618797648,3.96865971511106,4.21523495270635,"No Browsing"
5,"Pima","ba",0.00851265365120534,0.00723099576490484,0.0012816578863005,0.0157436494161102,"No Browsing"
5,"Pima","dbh",4.65045163397939,0.13276212156947,4.51768951240992,4.78321375554886,"No Browsing"
5,"Pima","density",4.99104070532642,4.25580222795625,0.73523847737017,9.24684293328267,"No Browsing"
6,"Bene","height",3.29283384490522,1.41911844259639,1.87371540230883,4.71195228750162,"No Browsing"
6,"Bene","ba",0.0104096753209512,0.00753146314302697,0.00287821217792424,0.0179411384639782,"No Browsing"
6,"Bene","dbh",2.7724023867132,1.19624235312557,1.57616003358763,3.96864473983877,"No Browsing"
6,"Bene","density",33.7505325970944,49.1847784764686,-15.4342458793742,82.935311073563,"No Browsing"
6,"Pima","height",4.09295543802399,0.138642378863107,3.95431305916089,4.2315978168871,"No Browsing"
6,"Pima","ba",0.0106280013702294,0.00889850396425657,0.00172949740597278,0.0195265053344859,"No Browsing"
6,"Pima","dbh",4.6571145486264,0.117054323792998,4.5400602248334,4.7741688724194,"No Browsing"
6,"Pima","density",6.2201825951826,5.28620370028916,0.933978894893432,11.5063862954718,"No Browsing"
7,"Bene","height",2.19991520593641,1.3678501854574,0.832065020479013,3.56776539139381,"No Browsing"
7,"Bene","ba",0.0239226892366754,0.0236473251786994,0.000275364057976065,0.0475700144153748,"No Browsing"
7,"Bene","dbh",1.84625063410593,1.14923155589842,0.697019078207514,2.99548219000436,"No Browsing"
7,"Bene","density",198.669177003866,247.485959651882,-48.8167826480156,446.155136655748,"No Browsing"
7,"Pima","height",4.1131984123037,0.173904299693348,3.93929411261035,4.28710271199705,"No Browsing"
7,"Pima","ba",0.0105282955004733,0.00943666051811341,0.00109163498235987,0.0199649560185867,"No Browsing"
7,"Pima","dbh",4.66957019092585,0.166762369776041,4.50280782114981,4.83633256070189,"No Browsing"
7,"Pima","density",6.15485974506593,5.62912087455306,0.525738870512873,11.783980619619,"No Browsing"
7,"Potr","height",1.80332649091505,0.0701097358230326,1.73321675509201,1.87343622673808,"No Browsing"
7,"Potr","ba",0.00148771788604478,0.000617661523971899,0.000870056362072879,0.00210537941001668,"No Browsing"
7,"Potr","dbh",1.0597164662623,0.0411112484256403,1.01860521783666,1.10082771468794,"No Browsing"
7,"Potr","density",16.9327944337663,6.78225113756352,10.1505432962027,23.7150455713298,"No Browsing"
8,"Bene","height",2.10796722383848,1.21490155872277,0.893065665115715,3.32286878256125,"No Browsing"
8,"Bene","ba",0.0288374292557937,0.0283982182014524,0.000439211054341346,0.0572356474572461,"No Browsing"
8,"Bene","dbh",1.76557234634277,1.01880681905673,0.746765527286041,2.7843791653995,"No Browsing"
8,"Bene","density",205.38500777705,242.729336938247,-37.3443291611967,448.114344715298,"No Browsing"
8,"Pima","height",4.12347020906798,0.198887153852606,3.92458305521537,4.32235736292058,"No Browsing"
8,"Pima","ba",0.0110541024881996,0.00992764502500063,0.001126457463199,0.0209817475132002,"No Browsing"
8,"Pima","dbh",4.68276209108097,0.18399087765084,4.49877121343013,4.86675296873181,"No Browsing"
8,"Pima","density",6.43523164794172,5.94331601751139,0.491915630430339,12.3785476654531,"No Browsing"
8,"Potr","height",2.03930340338544,0.222762646308151,1.81654075707729,2.26206604969359,"No Browsing"
8,"Potr","ba",0.00166771639296582,0.00078904795781395,0.000878668435151868,0.00245676435077977,"No Browsing"
8,"Potr","dbh",1.19882966693259,0.13073652529043,1.06809314164216,1.32956619222302,"No Browsing"
8,"Potr","density",14.9236162953091,6.70516422445192,8.2184520708572,21.628780519761,"No Browsing"
9,"Bene","height",2.08654436691888,1.10474324795454,0.981801118964334,3.19128761487342,"No Browsing"
9,"Bene","ba",0.0298086331472683,0.0304937917632363,-0.000685158615967914,0.0603024249105046,"No Browsing"
9,"Bene","dbh",1.74427530061459,0.924266595533165,0.820008705081429,2.66854189614776,"No Browsing"
9,"Bene","density",187.232794759187,223.397234556474,-36.1644397972873,410.630029315661,"No Browsing"
9,"Pima","height",4.11147175300688,0.186463955031425,3.92500779797545,4.29793570803831,"No Browsing"
9,"Pima","ba",0.011412412735464,0.0103399915564295,0.00107242117903459,0.0217524042918935,"No Browsing"
9,"Pima","dbh",4.67212073231479,0.17797738397777,4.49414334833702,4.85009811629256,"No Browsing"
9,"Pima","density",6.68581789392912,6.22615495533506,0.459662938594059,12.9119728492642,"No Browsing"
9,"Potr","height",2.52526668842948,0.786040804651895,1.73922588377759,3.31130749308138,"No Browsing"
9,"Potr","ba",0.00405447895080356,0.00646873233090245,-0.00241425338009889,0.010523211281706,"No Browsing"
