burn,site,blk,spp,diam06,ht_new_06,diam08,ht_new_08,diam11,ht_tot_11,har11,diam13,ht13,diam15,ht15,biomass06,biomass08,biomass11,biomass13,biomass15
BF,63,2,LP,2.3,9.8,6,8.2,12.8,68.7,1,NA,NA,NA,NA,-0.124158178,0.918595202,1.801743005,NA,NA
BF,63,2,PB,4.6,13.2,9,4.2,20.8,192,1,NA,NA,NA,NA,0.421134455,1.231386073,2.176958073,NA,NA
BF,63,2,TA,4.4,8.4,6,18.5,8.7,69.4,1,NA,NA,NA,NA,0.367471143,0.741898157,1.209808545,NA,NA
BF,63,2,WS,1.1,2.5,5,10.4,7,44.2,1,NA,NA,NA,NA,-0.688755422,0.855308457,1.283551167,NA,NA
BF,63,3,BS,1.5,1.5,3,1.7,6.6,50.9,1,NA,NA,NA,NA,-0.421879124,0.336000013,1.26191984,NA,NA
BF,63,3,LP,1.5,0.8,3,2.1,8,39.3,1,NA,NA,NA,NA,-0.589005161,0.16479502,1.252718762,NA,NA
BF,63,3,PB,3.7,3,6,7.1,8.1,103.2,1,NA,NA,NA,NA,0.15829306,0.741898157,1.179936521,NA,NA
BF,63,3,TA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF,63,3,WS,1,1.2,2,1.1,3,17.2,1,NA,NA,NA,NA,-0.78595,-0.079098457,0.302359441,NA,NA
BF,63,4,BS,1.7,3.9,4,7.4,7.8,44.4,1,NA,NA,NA,NA,-0.285027187,0.650548275,1.345138692,NA,NA
BF,63,4,LP,3,6.1,6,11.3,11.6,78.5,1,NA,NA,NA,NA,0.16479502,0.918595202,1.756452764,NA,NA
BF,63,4,PB,3.5,7.2,9,5.9,7.3,40.5,1,NA,NA,NA,NA,0.091207706,1.231386073,0.759591994,NA,NA
BF,63,4,TA,3.5,9.6,5,4.2,5.9,53.1,1,NA,NA,NA,NA,0.091207706,0.52179488,0.760423991,NA,NA
BF,63,4,WS,2.1,3,3,4.9,5.4,28.9,1,NA,NA,NA,NA,-0.029343652,0.334383189,0.942500263,NA,NA
BF,63,5,BS,1.1,1,2,1,3.9,31.4,1,NA,NA,NA,NA,-0.760998948,-0.107330862,0.700076519,NA,NA
BF,63,5,LP,1.2,2.8,3,3.2,11.4,57.6,1,NA,NA,NA,NA,-0.831674617,0.16479502,1.658570855,NA,NA
BF,63,5,PB,5.6,3.3,8,6.1,NA,NA,0,NA,NA,NA,NA,0.658608186,1.08919536,NA,NA,NA
BF,63,5,TA,3.6,4.7,5,5.8,8.9,58.6,1,NA,NA,NA,NA,0.125216313,0.52179488,1.178496591,NA,NA
BF,63,5,WS,1.5,1,2,0,NA,NA,0,NA,NA,NA,NA,-0.372468354,-0.079098457,NA,NA,NA
BF,63,6,BS,2.3,2.1,3,3.8,5.1,37,1,NA,NA,NA,NA,0.045483235,0.336000013,0.961675488,NA,NA
BF,63,6,LP,2.4,0.5,3,2.7,5.4,32.8,1,NA,NA,NA,NA,-0.077874436,0.16479502,0.861021942,NA,NA
BF,63,6,PB,1.7,7,2,2.2,3.9,36.6,1,NA,NA,NA,NA,-0.780571915,-0.58437488,0.268316138,NA,NA
BF,63,6,TA,2.3,7.5,4,7.5,4,30.3,1,NA,NA,NA,NA,-0.415650665,0.25241024,0.219336742,NA,NA
BF,63,6,WS,1.4,0.2,1,2.1,5.3,26.2,1,NA,NA,NA,NA,-0.442825298,-0.78595,0.887820923,NA,NA
BF,63,7,BS,1.2,2.4,2,3.3,5,45.8,1,NA,NA,NA,NA,-0.665861711,-0.107330862,1.017104755,NA,NA
BF,63,7,LP,1.5,4.5,3,4.8,7.5,44.6,1,NA,NA,NA,NA,-0.589005161,0.16479502,1.234555952,NA,NA
BF,63,7,PB,2.9,0.7,5.8,4.4,NA,NA,0,NA,NA,NA,NA,-0.135813789,0.700971331,NA,NA,NA
BF,63,7,TA,3,3.3,4.1,5.5,4.8,21.5,1,NA,NA,NA,NA,-0.094886963,0.282219798,0.284178256,NA,NA
BF,63,7,WS,1.5,2.1,1,2,NA,NA,0,NA,NA,NA,NA,-0.372468354,-0.78595,NA,NA,NA
BF,63,8,BS,1,1.7,2.2,0,3.4,10.3,0,3,13,3.1,16,-0.86521,-0.00311981,0.209774308,0.189336006,0.287970459
BF,63,8,LP,1.2,2,3.8,1.5,7.1,29.3,0,14,33,NA,NA,-0.831674617,0.421868711,1.064119865,1.685428271,NA
BF,63,8,PB,3.5,6.8,4.9,6,11.6,62.2,0,16,87,NA,NA,0.091207706,0.497405651,1.264253678,1.642571674,NA
BF,63,8,TA,2.5,4.2,3.3,1.5,5.7,38.6,0,6,50,NA,NA,-0.31499024,0.020173939,0.628516449,0.757509329,NA
BF,63,8,WS,1.2,0,3.4,0,2.4,10.2,0,3,10,NA,NA,-0.600023724,0.46202096,-0.125811088,0.034894181,NA
