"TSF","species","height","dbh","basal","height_sd","dbh_sd","basal_sd","Scenario"
2,"Pima",4.02339011998404,4.57103799070631,0.00628494478366346,0.0485524237637742,0.135595780578303,0.00575222635067367,"Exclosure"
3,"Pima",4.05456376072527,4.60059762930902,0.00658850833495861,0.0985261693603687,0.0756985163850828,0.00734688635273507,"Exclosure"
4,"Pima",4.0672807170701,4.61103403968751,0.00855401054990003,0.115457724196952,0.0970681118894185,0.0117848093158441,"Exclosure"
5,"Pima",4.10562612755706,4.66195717602454,0.0098779804268331,0.155698466249741,0.147081735962214,0.0126742021182378,"Exclosure"
6,"Bene",41.8662723339212,2.7724023867132,0.0104096753209512,55.2268281344159,1.19624235312557,0.00753146314302697,"Exclosure"
6,"Pima",4.10541232444815,4.66443225839261,0.012167726569997,0.179132628356467,0.148736119204449,0.0147713075714477,"Exclosure"
7,"Bene",101.604888993375,1.83290899287242,0.0239792865183574,59.1362711388394,1.14304181121416,0.0235490473182858,"Exclosure"
7,"Pima",4.12536672718913,4.67896120378406,0.0117472629687623,0.214879776665137,0.198308387610712,0.0138584557192127,"Exclosure"
7,"Potr",180.151799030261,1.0597164662623,0.00148771788604478,6.98891220003917,0.0411112484256403,0.000617661523971899,"Exclosure"
8,"Bene",124.006802326283,1.75649560673154,0.0288581767913838,61.1868587563663,1.01260043175474,0.0282251379578739,"Exclosure"
8,"Pima",4.13902951857368,4.6962428505648,0.0117671792030251,0.255549598953204,0.236418961940189,0.0121143887616892,"Exclosure"
8,"Potr",203.80104351537,1.19882966693259,0.00166771639296582,22.225209246335,0.13073652529043,0.00078904795781395,"Exclosure"
9,"Bene",144.838918892564,1.7375764663039,0.0298101765406974,63.3226879788989,0.917686610122535,0.0302833109189759,"Exclosure"
9,"Pima",4.12598882006899,4.68512416845419,0.0122525955646431,0.242324769690092,0.228632714283128,0.013119547961028,"Exclosure"
9,"Potr",182.662525901472,1.48282048343281,0.00404821476291536,87.3101240742006,0.462794868124737,0.00646230518258007,"Exclosure"
10,"Bene",165.328396144171,1.81369542633429,0.0302401524094963,69.8213589609105,0.893214122802044,0.0299891141618602,"Exclosure"
10,"Pima",4.13546054733548,4.6896825347875,0.0131073544174999,0.275130023022197,0.271914283284247,0.0148622758252121,"Exclosure"
10,"Potr",213.043445839985,1.60855309289824,0.00477455707718491,91.2197440204361,0.592055291164432,0.00999693301632743,"Exclosure"
11,"Bene",186.153634371286,1.95548415810615,0.0298227367581169,81.622493316543,0.915070651806712,0.0287337388170569,"Exclosure"
11,"Pima",4.13817382519732,4.69436857451509,0.0134962706789195,0.275177778736599,0.27526768768543,0.0160256680100453,"Exclosure"
11,"Potr",220.051387395337,1.55031935078875,0.0052419523634055,86.3318197839842,0.656971847549008,0.0108901300916316,"Exclosure"
12,"Bene",205.725784307583,2.09022055484423,0.029883487061182,91.9580791067855,0.947028497434289,0.0283127651059577,"Exclosure"
12,"Pima",4.14108383242624,4.69623751249433,0.0125213282567527,0.279084767486415,0.28440994783865,0.016277780694609,"Exclosure"
12,"Potr",209.118126751975,1.3999227562866,0.01021862217973,69.8318529606375,0.642479161115383,0.0150388575410769,"Exclosure"
13,"Bene",219.25756942577,2.18732716631404,0.0280648667633712,96.4786887013963,0.966115870472422,0.0264375915926407,"Exclosure"
13,"Pima",4.15234412720227,4.71844589935474,0.0124365673621004,0.311104394464379,0.320409842963364,0.0177715466721825,"Exclosure"
13,"Potr",208.617584108225,1.35309819190369,0.014747457422636,58.5045992665504,0.606211038816343,0.0180813890350651,"Exclosure"
14,"Bene",221.657148755429,2.18641795512594,0.0266411132045402,98.7588686685632,0.980327475835611,0.0255682939059353,"Exclosure"
14,"Pigl",3.92508745193481,4.94889307022095,0.0019235612592896,NA,NA,NA,"Exclosure"
14,"Pima",4.17090304559735,4.73568200832576,0.0116329384189447,0.35071021255667,0.370014087402652,0.0182553468400236,"Exclosure"
14,"Potr",213.523840439643,1.35798890920606,0.0164206632033186,53.3212055453883,0.569526282895122,0.0187369681280613,"Exclosure"
15,"Bene",227.070873822888,2.2271582276821,0.026079188530915,99.8843345068674,0.988848608524899,0.0255356701975669,"Exclosure"
