burn	site	blk	spp	diam06	ht_new_06	diam08	ht_new_08	diam11	ht11	diam13	ht13	diam15	ht15
TC	25	9	BS	1.3	0.6	1.7	0.5	3	19.6	0.48	31		
TC	25	10	BS	1.3	1.5	1.9	1	5	22.4	0.59	29		
TC	25	11	BS	2	1	0.8	1.6	4.2	22.1	0.48	26	0.72	30
TC	25	12	BS	1.4	0.6	2.3	1.9	3.8	27.3	0.55	45	0.85	69
TC	25	13	BS	1	0	1.3	0	3.1	9.1	0.22	11	0.31	12
TC	25	14	BS	1.9	1	1.4	3	3.1	28.4	0.32	33	0.58	45
TC	26	8	BS	1.4	0.8	2	1.5	3.9	24	0.63	37		
TC	26	9	BS	1.2	1.3	2	3.6	3.7	19.2	0.56	22		
TC	26	10	BS	1.9	0.6	2.6	2.5	6	35.5	0.76	41		
TC	26	11	BS	1	1.1	1.8	2.5	5.2	34.3	0.82	50	1.15	62
TC	26	12	BS	1	1.2	1.6	1.2	3.8	22.6	0.8	39	0.94	44
TC	26	13	BS	1.8	1.2	2.1	3	4	26.2	0.66	42	0.85	56
TC	26	14	BS	0.9	0.7	2.6	2	2.9	15.5	0.36	23	0.47	26
TC	27	8	BS	1	1.5	1.7	4	NA	NA	NA	NA		
TC	27	9	BS	1.3	1.5	2.4	0.7	4.1	22.1	NA	NA	0.77	41
TC	27	10	BS	0.9	1.2	1.7	1.3	2.8	19.2	NA	NA	0.37	34
TC	27	11	BS	NA	NA	2.5	0.2	2.6	13.3	NA	NA	0.69	36
TC	27	12	BS	1.4	1.3	2.4	1.5	2.8	18.2	NA	NA	0.64	34
TC	27	13	BS	1	0.6	2.6	0.8	5	34.6	NA	NA	1.18	78
TC	27	14	BS	1.5	0.8	2.4	1	5.6	23.3	NA	NA	0.80	56
TC	29	8	BS	1.6	1.4	3.3	3.7	8.6	47.6	1.11	59		
TC	29	9	BS	1.6	3.5	2.6	2.8	10.4	72.5	1.3	101		
TC	29	10	BS	1	1.5	2.8	3.5	3.7	27.9	0.6	37		
TC	29	11	BS	2	4.8	2.2	9.1	NA	NA	1.1	67	1.36	79
TC	29	12	BS	2.1	1.6	1.7	0.3	3	17.9	0.5	27	0.54	32
TC	29	13	BS	2.2	10.8	3.3	12.1	10.1	58	1.1	86	1.57	121
TC	29	14	BS	3	9.3	1.6	3.1	9.2	47.9	0.8	53	1.14	69
DC	30	8	BS	3.2	7.8	5.3	3.2	15.8	104.4	2.4	154	3.40	212
DC	30	9	BS	2.3	0	6.6	5.1	8.6	64.8	1.3	73	2.21	145
DC	30	10	BS	2.8	9.4	5.5	8.4	10.4	65.2	1.3	69	2.03	119
DC	30	11	BS	2	8	4.5	8.5	13.7	81.1	1.9	130	3.12	195
DC	30	12	BS	2	5.2	4.5	4.8	14.4	89	2.2	121	2.77	171
DC	30	13	BS	1.9	5.4	3	4.9	10.3	75.6	1.5	95	2.16	142
DC	30	14	BS	1.2	1.6	4.2	1.9	9	62.3	1.3	77	2.25	101
DC	31	8	BS	3.3	15.2	6.2	14	17.1	105.2	3.3	133	3.30	155
DC	31	9	BS	2.7	4.1	5.6	3	12.2	64	1.6	86	2.54	122
DC	31	10	BS	3.9	9	6.8	9.5	12.4	58	1.7	77	1.72	104
