burn	site	block	spp	Ht (cm)	BD (cm)	DBH (cm)
DC	53	11	BS	155	1.58	0.6
DC	53	12	BS			
DC	53	13	BS	46	1.66	
DC	53	14	BS	27	0.48	
DC	54	9	BS			
DC	54	11	BS			
DC	54	13	BS	18	0.47	
BF	61	8	BS			
BF	61	9	BS			
BF	61	10	BS			
BF	61	11	BS	73	1.37	
BF	61	12	BS	41	0.65	
BF	61	13	BS	61	0.96	
BF	61	14	BS	79	1.41	
BF	62	8	BS			
BF	62	9	BS			
BF	62	10	BS			
BF	62	11	BS	59	0.98	
BF	62	12	BS	63	0.92	
BF	62	13	BS	65	1.11	
BF	62	14	BS	83	1.41	
BF	63	8	BS			
BF	63	9	BS			
BF	63	10	BS			
BF	63	11	BS			
BF	63	12	BS	16	0.31	
BF	63	13	BS	80	1.41	
BF	63	14	BS	73	0.97	
BF	76	8	BS			
BF	76	9	BS			
BF	76	10	BS			
BF	76	11	BS	186	2.46	0.9
BF	76	12	BS	175	1.78	0.58
BF	76	13	BS	154	1.68	0.44
BF	76	14	BS	115	1.47	
BF	78	8	BS	48	0.87	
BF	78	9	BS	82	1.75	
BF	78	10	BS	57	1.17	
BF	78	11	BS			
BF	78	12	BS			
BF	78	13	BS			
BF	78	14	BS			
BF	78	8	BS			
BF	78	9	BS			
BF	78	10	BS			
BF	79	11	BS	71	0.99	
BF	79	12	BS	67	0.87	
BF	79	13	BS	137	1.88	0.47
BF	79	14	BS	131	1.62	0.3
BF	81	8	BS			
BF	81	9	BS			
BF	81	10	BS			
BF	81	11	BS	101	1.23	
BF	81	12	BS	68	0.68	
BF	81	13	BS	109	1.31	
BF	81	14	BS	85	1.22	
BF	84	8	BS	78	1.24	
BF	84	9	BS	34	0.55	
BF	84	10	BS	30	0.34	
BF	84	11	BS			
BF	84	12	BS			
BF	84	13	BS	74	0.90	
BF	84	14	BS	53	0.92	
BF	86	8	BS			
BF	86	9	BS			
BF	86	10	BS			
BF	86	11	BS	106	1.09	
BF	86	12	BS	106	1.23	
BF	86	13	BS	68	0.85	
BF	86	14	BS	85	0.94	
BF	87	8	BS			
BF	87	9	BS			
BF	87	10	BS			
BF	87	11	BS	109	0.97	
BF	87	12	BS	43	0.52	
BF	87	13	BS	83	1.25	
BF	87	14	BS	88	1.22	
BF	91	8	BS			
BF	91	9	BS	52	0.78	
BF	91	10	BS			
BF	91	11	BS			
BF	91	12	BS			
BF	91	13	BS	16	0.36	
